Key,es,en,de,fr,eu,it,pt
Play,Jugar,Play,Spielen,Jouer,Jolastu,Gioca,Jogar
Settings,Ajustes,Settings,Einstellungen,Paramètres,Ezarpenak,Impostazioni,Configurações
Shop,Tienda,Shop,Laden,Boutique,Denda,Negozio,Loja
Leaderboard,Clasificación,Leaderboard,Bestenliste,Classement,Sailkapena,Classifica,Classificação
Tutorial,Tutorial,Tutorial,Anleitung,Tutoriel,Tutoriala,Tutoriale,Tutorial
Stats,Estadísticas,Stats,Statistiken,Statistiques,Estatistikak,Statistiche,Estatísticas
Credits,Créditos,Credits,Mitwirkende,Crédits,Kredituak,Crediti,Créditos
CipherLetter,CifraLetra,CipherLetter,ZahlBuchstabe,ChiffreLettre,ZifraLetra,CifraLettera,CifraLetra
Cipher,Cifra,Cipher,Zahl,Chiffre,Zifra,Cifra,Cifra
Letter,Letra,Letter,Buchstabe,Lettre,Letra,Lettera,Letra
Back,Atrás,Back,Zurück,Retour,Atzera,Indietro,Voltar
SOUND,SONIDO,SOUND,TON,SON,SOINU,SUONO,SOM
LANGUAGE,IDIOMA,LANGUAGE,SPRACHE,LANGUE,HIZKUNTZA,LINGUA,IDIOMA
Music,Música,Music,Musik,Musique,Musika,Musica,Música
Fx,Fx,Fx,Fx,Fx,Fx,Fx,Fx
Spanish,Español,Spanish,Spanisch,Espagnol,Espainiera,Spagnolo,Espanhol
English,Inglés,English,Englisch,Anglais,Ingelesa,Inglese,Inglês
German,Alemán,German,Deutsch,Allemand,Alemana,Tedesco,Alemão
Basque,Euskera,Basque,Baskisch,Basque,Euskara,Basco,Basco
French,Francés,French,Französisch,Français,Frantsesa,Francese,Francês
THEME,TEMÁTICA,THEME,THEMA,THÉMATIQUE,GAIA,TEMA,TEMA
DIFFICULTY,DIFICULTAD,DIFFICULTY,SCHWIERIGKEIT,DIFFICULTÉ,ZAILTASUNA,DIFFICOLTÀ,DIFICULDADE
Riddles,Adivinanzas,Riddles,Rätsel,Devinettes,Asmakizunak,Indovinelli,Advinhas
Bible Quotes,Citas Bíblicas,Bible Quotes,Bibelzitate,Citations Bibliques,Aipamen Biblikoak,Citazioni Bibliche,Citações Bíblicas
Literary Fragments,Fragmentos Literarios,Literary Fragments,Literaturfragmente,Fragments Littéraires,Literatur Zatiak,Frammenti Letterari,Fragmentos Literários
Jokes,Chistes,Jokes,Witze,Blagues,Txisteak,Barzellette,Piadas
Famous Quotes,Citas Célebres,Famous Quotes,Berühmte Zitate,Citations Célèbres,Aipamen Ospetsuak,Citazioni Famose,Citações Famosas
Ephemerides,Efemérides,Ephemerides,Ereignisse,Éphémérides,Efemerideak,Efemeridi,Efemérides
Popular Sayings,Refranes Populares,Popular Sayings,Sprichwörter,Proverbes Populaires,Esaera Zaharrak,Proverbi Popolari,Provérbios Populares
Easy,Fácil,Easy,Einfach,Facile,Erraza,Facile,Fácil
Normal,Normal,Normal,Normal,Normal,Normala,Normale,Normal
Hard,Difícil,Hard,Schwierig,Difficile,Zaila,Difficile,Difícil
Select THEME and DIFFICULTY,Selecciona TEMÁTICA y DIFICULTAD,Select THEME and DIFFICULTY,Wähle THEMA und SCHWIERIGKEIT,Sélectionne THÉMATIQUE et DIFFICULTÉ,Hautatu GAIA eta ZAILTASUNA,Seleziona TEMA e DIFFICOLTÀ,Selecione TEMA e DIFICULDADE
SETTINGS,AJUSTES,SETTINGS,EINSTELLUNGEN,PARAMÈTRES,EZARPENAK,IMPOSTAZIONI,CONFIGURAÇÕES
PLAY,JUGAR,PLAY,SPIELEN,JOUER,JOLASTU,GIOCA,JOGAR
"Select
THEME
and
DIFFICULTY","Seleccione
TEMA
y
DIFICULTAD","Select
THEME
and
DIFFICULTY","Wählen Sie
THEMA
und
SCHWIERIGKEITSGRAD","Sélectionnez
LE SUJET
et
LE NIVEAU DE DIFFICULTÉ","Hautatu
GAIA
eta
ZAILTASUNA","Seleziona
ARGOMENTO
e
DIFFICOLTÀ","Selecione
TÓPICO
e
DIFICULDADE"
SCORE,PUNTUACIÓN,SCORE,PUNKTZAHL,SCORE,PUNTUAZIOA,PUNTO,PONTUAÇÃO
Difficulty,Dificultad,Difficulty,Schwierig,Difficulté,Zailtasuna,Difficoltà,Dificuldade
Depending on the difficulty: some hints or purchases may be free. The rest will cost you coins and score,"Según la dificultad: algunas pistas o compras pueden ser gratis. 
El resto de pistas o compras te harán perder monedas y puntuación",Depending on the difficulty: some hints or purchases may be free. The rest will cost you coins and score,Je nach Schwierigkeitsgrad: Einige Hinweise oder Käufe können kostenlos sein. Die übrigen kosten Münzen und Punkte,Selon la difficulté : certains indices ou achats peuvent être gratuits. Les autres te feront perdre des pièces et des points,Zailtasunaren arabera: pista edo erosketa batzuk doakoak izan daitezke. Gainerakoek txanponak eta puntuak galduko dizkizute,In base alla difficoltà: alcuni indizi o acquisti possono essere gratuiti. Gli altri ti faranno perdere monete e punteggio,Conforme a dificuldade: algumas dicas ou compras podem ser gratuitas. As demais farão você perder moedas e pontuação
Try to guess where the vowels are. Use the cell-coloring aids to spot them across the whole sentence,"Trata de adivinar donde están las vocales.
Usa las ayudas de colorear celdas para detectarlas en toda la frase",Try to guess where the vowels are. Use the cell-coloring aids to spot them across the whole sentence,,,,,
Some special letters are easier to spot,Algunas letras especiales son más fácilmente detectables,Some special letters are easier to spot,Einige besondere Buchstaben sind leichter zu erkennen,Certaines lettres particulières sont plus faciles à repérer,Zenbait letra berezi errazago antzematen dira,Alcune lettere speciali sono più facili da individuare,Algumas letras especiais são mais fáceis de identificar: Y
Long texts may take more time and feel harder, but they offer more words to deduce from,,Long texts may take more time and feel harder, but they offer more words to deduce from,,,
The game doesn’t tell you if a letter is in the correct cell. You can always buy that letter to be sure,"El juego no te avisa de si has puesto una letra en la casilla correcta o no.
Siempre puedes comprar esa letra para estar seguro de que está bien",The game doesn’t tell you if a letter is in the correct cell. You can always buy that letter to be sure,,,,,
You can change the board’s number of columns in the options menu,Puedes cambiar el número de columnas del tablero desde el menú de opciones,You can change the board’s number of columns in the options menu,Du kannst die Anzahl der Spalten des Spielfelds im Optionen-Menü ändern,Tu peux changer le nombre de colonnes du plateau dans le menu des options,Aukeren menuan alda dezakezu taularen zutabe kopurua,Puoi cambiare il numero di colonne della griglia dal menu opzioni,Você pode alterar o número de colunas do tabuleiro no menu de opções
Biggest penalties (order): buy vowels > buy letters > buy hints > change letters,Lo que más penaliza es: comprar vocales > comprar letras > comprar pistas > cambiar letras,Biggest penalties (order): buy vowels > buy letters > buy hints > change letters,Größte Strafreihenfolge: Vokale kaufen > Buchstaben kaufen > Hinweise kaufen > Buchstaben ändern,Ce qui pénalise le plus : acheter des voyelles > acheter des lettres > acheter des indices > changer des lettres,Zigor handiena honela: bokalak erosi > letrak erosi > pistak erosi > letrak aldatu,Penalità (ordine): comprare vocali > comprare lettere > comprare indizi > cambiare lettere,Maior penalização (ordem): comprar vogais > comprar letras > comprar dicas > trocar letras
Only your first completion of a board counts for online and local leaderboards,Solo puntua para los rankings online y local la primera vez que haces un tablero,Only your first completion of a board counts for online and local leaderboards,Nur der erste Abschluss eines Brettes zählt für die Online- und lokalen Bestenlisten,Seul ton premier achèvement d’un tableau compte pour les classements en ligne et locaux,Taula bat lehen aldiz osatzen duzunean bakarrik balio du online eta tokiko sailkapenetarako,Solo la prima volta che completi una griglia vale per le classifiche online e locali,Apenas a primeira vez que concluires um tabuleiro conta para os rankings online e local
The score depends on the difficulty and not on the topic of the sentence,La puntuación depende de la dificultad y no del tema de la frase,The score depends on the difficulty and not on the topic of the sentence,,,,,
ERASE,BORRAR,ERASE,LÖSCHEN,SUPPRIMER,EZABATU,ELIMINA,EXCLUIR
TIME,TIEMPO,TIME,ZEIT,TEMPS,DENBORA,TEMPO,TEMPO
CHANGES,CAMBIOS,CHANGES,ÄNDERUNGEN,MODIFICATIONS,ALDAKETAK,MODIFICHE,ALTERAÇÕES
LETTERS,LETRAS,LETTERS,BUCHSTABEN,LETTRES,LETRAK,LETTERE,LETRAS
HINTS,PISTAS,HINTS,HINWEISE,INDICES,PISTAK,INDIZI,DICAS
Are you sure you want to delete the letter? (it will cost you 1000 points from your score),¿Estás seguro de que quieres borrar la letra? (te costará 1.000 puntos en tu marcador),Are you sure you want to delete the letter? (it will cost you 1000 points from your score),,,Ziur zaude letra ezabatu nahi duzula? (zure puntuaziotik 1.000 puntu kenduko dira),,
EXIT,SALIR,EXIT,BEENDEN,QUITTER,IRTEN,USCIRE,SAIR
CONTINUE,SEGUIR,CONTINUE,FORTSETZEN,CONTINUER,JARRAITU,CONTINUARE,CONTINUAR
Are you sure you want to leave the game? (if you abandon it  you won’t be able to score on it later),¿Estás seguro de que quieres salir de la partida? (si abandonas ya no podrás puntuar en ella más adelante),Are you sure you want to leave the game? (if you abandon it  you won’t be able to score on it later),,,,,
GAME SETTINGS,AJUSTES DE JUEGO,GAME SETTINGS,SPIELEINSTELLUNGEN,PARAMÈTRES DE JEU,JOKOAREN EZARPENAK,IMPOSTAZIONI DI GIOCO,CONFIGURAÇÕES DO JOGO
Enter Name,Introduce Nombre,Enter Name,Geben Sie den Namen ein,Entrez le nom,sartu izena,Inserisci il nome,Digite o nome
COLUMNS,COLUMNAS,COLUMNS,SPALTEN,COLONNES,ZUTABEAK,COLONNE,COLUNAS
New local record!,¡Nuevo récord local!,New local record!,Neuer lokaler Rekord!,Nouveau record local !,Errekor lokal berria!,Nuovo record locale!,Novo recorde local!
Rank 1 in LOCAL TOP,Puesto 1 en TOP LOCAL,Rank 1 in LOCAL TOP,Platz 1 in der LOKALEN BESTENLISTE,1er du TOP LOCAL,TOKIKO SAILKAPENEAN 1. postua,1º nel TOP LOCALE,1º no TOP LOCAL
Rank 2 in LOCAL TOP,Puesto 2 en TOP LOCAL,Rank 2 in LOCAL TOP,Platz 2 in der LOKALEN BESTENLISTE,2e du TOP LOCAL,TOKIKO SAILKAPENEAN 2. postua,2º nel TOP LOCALE,2º no TOP LOCAL
Rank 3 in LOCAL TOP,Puesto 3 en TOP LOCAL,Rank 3 in LOCAL TOP,Platz 3 in der LOKALEN BESTENLISTE,3e du TOP LOCAL,TOKIKO SAILKAPENEAN 3. postua,3º nel TOP LOCALE,3º no TOP LOCAL
